Years,Tanomaly,10yav,Termal Variation,10yvariation,Attacks
1950,-0.17,-0.135,0.17,0.135,13
1951,-0.33,-0.133,0.33,0.133,9
1952,-0.2,-0.148,0.2,0.148,5
1953,-0.27,-0.205,0.27,0.205,12
1954,-0.32,-0.254,0.32,0.254,6
1955,-0.29,-0.302,0.29,0.302,9
1956,0.05,-0.283,0.05,0.283,10
1957,-0.33,-0.281,0.33,0.281,7
1958,-0.15,-0.258,0.15,0.258,5
1959,-0.29,-0.23,0.29,0.23,20
1960,-0.14,-0.227,0.14,0.227,21
1961,-0.27,-0.221,0.27,0.221,24
1962,0.03,-0.198,0.03,0.198,20
1963,-0.13,-0.184,0.13,0.184,11
1964,-0.07,-0.159,0.07,0.159,9
1965,-0.66,-0.196,0.66,0.196,5
1966,-0.47,-0.248,0.47,0.248,17
1967,-0.24,-0.239,0.24,0.239,10
1968,-0.04,-0.228,0.04,0.228,8
1969,0.06,-0.193,0.06,0.193,9
1970,0.25,-0.154,0.25,0.154,1
1971,0.12,-0.115,0.12,0.115,7
1972,-0.26,-0.144,0.26,0.144,10
1973,0.34,-0.097,0.34,0.097,5
1974,0.14,-0.076,0.14,0.076,4
1975,0.12,0.002,0.12,0.002,14
1976,-0.05,0.044,0.05,0.044,5
1977,-0.1,0.058,0.1,0.058,9
1978,0.01,0.063,0.01,0.063,3
1979,0.03,0.06,0.03,0.06,1
1980,0.02,0.037,0.02,0.037,1
1981,0.2,0.045,0.2,0.045,4
1982,-0.23,0.048,0.23,0.048,2
1983,-0.01,0.013,0.01,0.013,4
1984,0.09,0.008,0.09,0.008,3
1985,0.12,0.008,0.12,0.008,2
1986,0.12,0.025,0.12,0.025,5
1987,-0.08,0.027,0.08,0.027,5
1988,0.44,0.07,0.44,0.07,7
1989,0.27,0.094,0.27,0.094,13
1990,0.26,0.118,0.26,0.118,9
1991,0.0,0.098,0.0,0.098,7
1992,-0.15,0.106,0.15,0.106,6
1993,-0.32,0.075,0.32,0.075,7
1994,-0.17,0.049,0.17,0.049,3
1995,0.34,0.071,0.34,0.071,8
1996,0.41,0.1,0.41,0.1,12
1997,-0.07,0.101,0.07,0.101,10
1998,0.62,0.119,0.62,0.119,5
1999,0.27,0.119,0.27,0.119,3
2000,0.24,0.117,0.24,0.117,18
2001,0.44,0.161,0.44,0.161,13
2002,0.43,0.219,0.43,0.219,13
2003,0.51,0.302,0.51,0.302,10
2004,0.37,0.356,0.37,0.356,17
2005,0.49,0.371,0.49,0.371,21
2006,0.27,0.357,0.27,0.357,14
2007,0.45,0.409,0.45,0.409,19
2008,0.4,0.387,0.4,0.387,20
2009,0.45,0.405,0.45,0.405,28
2010,0.6,0.441,0.6,0.441,18
2011,0.44,0.441,0.44,0.441,20
2012,0.31,0.429,0.31,0.429,26
2013,0.44,0.422,0.44,0.422,20
2014,0.4,0.425,0.4,0.425,29
2015,0.26,0.402,0.26,0.402,31
2016,0.85,0.46,0.85,0.46,32
2017,0.75,0.49,0.75,0.49,23
